n_in,final,a,b,c,d,a1,b1,c1,d1,a2,b2,c2,d2,a3,b3,c3,d3
2009070410,0.135,2.8,-2.26,128.87,3.6,3.1,-2.19,125.17,3.8,2.83,-1.63,119.97,3.27,3.49,-2.28,123.15,4.17
2009070411,0.11,3.37,-2.82,129.95,4.39,3.95,-3.28,129.74,5.13,3.71,-2.32,122.03,4.37,4.25,-2.73,122.74,5.05
2009070412,0.201,4.14,-3.4,129.42,5.35,4.69,-4.15,131.48,6.26,4.57,-3.01,123.41,5.47,4.93,-3.21,123.03,5.88
2009070413,0.386,5.07,-4.45,131.22,6.75,5.15,-3.55,124.56,6.25,5.32,-3.66,124.48,6.46,4.9,-4.56,132.94,6.7
2009070414,0.461,5.15,-4.34,130.11,6.73,5.43,-3.89,125.63,6.68,5.41,-4.03,126.69,6.75,4.99,-4.55,132.32,6.75
2009070415,0.451,5.06,-4.12,129.15,6.52,5.44,-4.04,126.61,6.78,5.24,-4.28,129.28,6.77,4.85,-4.5,132.85,6.61
2009070416,0.376,4.92,-4.02,129.29,6.35,5.24,-4.03,127.55,6.61,4.88,-4.39,131.93,6.56,4.56,-4.41,134.06,6.34
2009070417,0.266,4.78,-4.09,130.59,6.29,4.96,-4,128.83,6.37,4.56,-4.41,134.02,6.34,4.3,-4.32,135.15,6.09
2009070418,0.241,4.68,-4.31,132.69,6.36,4.76,-4.11,130.81,6.29,4.51,-4.43,134.46,6.32,4.26,-4.26,135.02,6.02
2009070419,0.236,4.61,-4.63,135.08,6.54,4.71,-4.45,133.38,6.49,4.87,-4.5,132.75,6.63,4.54,-4.24,133.05,6.21
2009070420,0.226,4.47,-4.79,136.99,6.55,4.64,-4.75,135.67,6.64,5.23,-4.45,130.4,6.87,4.86,-4.11,130.23,6.36
2009070421,0.271,4.09,-4.52,137.86,6.1,4.29,-4.63,137.18,6.32,5.1,-4.08,128.7,6.53,4.83,-3.68,127.34,6.07
2009070422,0.271,3.41,-3.65,136.92,5,3.54,-3.87,137.51,5.24,4.16,-3.27,128.19,5.3,4.22,-2.87,124.22,5.1
2009070423,0.296,2.7,-2.46,132.35,3.65,2.7,-2.72,135.24,3.84,2.92,-2.24,127.53,3.68,3.35,-1.92,119.72,3.86
2009070500,0.19,2.29,-1.35,120.46,2.65,2.2,-1.6,126.06,2.72,2.07,-1.3,122,2.45,2.71,-1.16,113.22,2.95
2009070501,0.12,2.34,-0.83,109.42,2.48,2.12,-0.66,107.36,2.22,2.63,-0.86,108.06,2.77,3.52,-1.02,106.24,3.66
2009070502,0.195,2.87,-0.38,97.47,2.89,2.73,-0.25,95.16,2.74,2.93,-0.86,106.35,3.05,3.22,-0.85,104.72,3.33
2009070503,0.281,3.39,-0.16,92.69,3.39,3.35,0.13,87.75,3.35,3.3,-0.94,105.85,3.43,3.11,-0.67,102.23,3.18
2009070504,0.221,3.62,-0.09,91.43,3.62,3.58,0.59,80.64,3.62,3.51,-0.91,104.51,3.62,3.12,-0.51,99.29,3.17
2009070505,0.14,3.62,-0.12,91.91,3.62,3.49,1.02,73.74,3.63,3.57,-0.77,102.25,3.65,3.21,-0.38,96.8,3.24
2009070506,0.216,3.55,-0.21,93.41,3.56,3.3,1.25,69.26,3.53,3.57,-0.59,99.42,3.62,3.32,-0.32,95.47,3.34
2009070507,0.281,3.54,-0.32,95.12,3.56,3.19,1.17,69.89,3.39,3.6,-0.4,96.38,3.62,3.39,-0.32,95.41,3.41
2009070508,0.206,3.58,-0.36,95.72,3.6,3.19,0.84,75.29,3.29,3.62,-0.18,92.91,3.62,3.43,-0.32,95.31,3.44
2009070509,0.185,3.6,-0.25,93.93,3.61,3.31,0.38,83.51,3.33,3.59,0.1,88.48,3.59,3.43,-0.22,93.59,3.43
2009070510,0.246,3.58,0.06,89.04,3.58,3.55,-0.12,91.91,3.55,3.48,0.44,82.76,3.51,3.41,0.03,89.44,3.41
2009070511,0.266,3.53,0.43,83.04,3.56,3.81,-0.65,99.62,3.87,3.32,0.76,77.06,3.41,3.4,0.27,85.52,3.41
2009070512,0.165,3.52,0.69,78.91,3.58,4,-1.23,107.07,4.18,3.15,0.94,73.44,3.29,3.44,0.27,85.48,3.45
2009070513,0.025,4.04,-1.87,114.81,4.45,3.01,0.88,73.68,3.14,3.56,-0.09,91.44,3.56,3.53,0.43,83.01,3.55
2009070514,0.01,3.98,-2.49,122.05,4.7,2.95,0.67,77.26,3.02,3.66,-0.67,100.35,3.72,3.94,-0.06,90.84,3.94
2009070515,0,3.94,-3.03,127.59,4.97,3.02,0.4,82.43,3.05,3.66,-1.24,108.78,3.87,4.06,-0.56,97.9,4.1
2009070516,0.01,3.97,-3.41,130.65,5.24,3.25,0.16,87.2,3.25,3.5,-1.64,115.06,3.87,3.98,-1.03,104.57,4.11
2009070517,0.035,4.11,-3.66,131.65,5.5,3.55,-0.12,91.96,3.55,3.35,-1.84,118.78,3.82,3.85,-1.38,109.68,4.09
2009070518,0.03,4.34,-3.8,131.19,5.77,3.81,-0.53,97.96,3.85,3.4,-1.88,118.86,3.89,3.82,-1.48,111.21,4.1
2009070519,0.02,4.62,-3.85,129.85,6.01,3.94,-1.12,105.89,4.09,3.79,-1.79,115.24,4.19,3.99,-1.31,108.12,4.2
2009070520,0.045,4.69,-3.73,128.48,5.99,3.83,-1.73,114.23,4.2,4.23,-1.61,110.89,4.53,4.17,-1.01,103.66,4.29
2009070521,0.07,4.26,-3.3,127.81,5.39,3.42,-2.14,122.06,4.03,4.34,-1.4,107.86,4.56,4.1,-0.83,101.39,4.18
2009070522,0.085,3.18,-2.53,128.55,4.07,2.65,-2.21,129.88,3.45,3.89,-1.18,106.89,4.06,3.61,-0.89,103.82,3.72
2009070523,0.065,1.93,-1.65,130.52,2.54,1.7,-2.03,140.2,2.65,3.16,-0.96,106.88,3.31,2.97,-1.05,109.42,3.14
2009070600,0.015,1.15,-0.96,129.98,1.5,0.77,-1.76,156.29,1.92,2.61,-0.74,105.76,2.71,2.51,-1.06,112.95,2.73
2009070601,0.01,0.07,-1.48,177.4,1.48,2.54,-0.51,101.45,2.59,2.5,-0.81,107.86,2.63,2.81,-0.95,108.7,2.97
2009070602,0.035,-0.32,-1.14,195.88,1.19,2.77,-0.33,96.81,2.79,2.74,-0.51,100.47,2.78,2.79,-0.95,108.75,2.94
2009070603,0.09,-0.33,-0.61,208.66,0.7,3.03,-0.24,94.47,3.04,2.92,-0.49,99.57,2.96,2.57,-1.23,115.61,2.85
2009070604,0.115,0.06,0.17,19.47,0.18,3.08,-0.25,94.66,3.09,2.84,-0.95,108.47,3,2.25,-1.65,126.18,2.79
2009070605,0.06,0.69,1.05,33.51,1.26,2.98,-0.29,95.59,2.99,2.61,-1.47,119.37,2.99,1.98,-1.93,134.25,2.77
2009070606,0.05,1.36,1.83,36.61,2.28,2.85,-0.25,94.98,2.86,2.41,-1.49,121.75,2.84,1.91,-1.79,133.12,2.62
2009070607,0.03,1.87,2.34,38.69,3,2.8,-0.08,91.61,2.8,2.41,-0.68,105.79,2.5,2.14,-1.07,116.54,2.4
2009070608,0,2.13,2.47,40.79,3.26,2.76,0,89.98,2.76,2.55,0.49,79.24,2.6,2.54,-0.13,92.97,2.54
2009070609,0,2.05,2.14,43.81,2.97,2.62,-0.29,96.35,2.64,2.77,1.31,64.73,3.07,2.9,0.53,79.63,2.94
2009070610,0.04,1.64,1.35,50.42,2.12,2.33,-1.11,115.4,2.58,2.98,1.28,66.69,3.25,3.09,0.56,79.78,3.14
2009070611,0.04,1.17,0.43,70.03,1.25,2.01,-2.07,135.81,2.89,3.08,0.66,77.91,3.15,3.23,0.14,87.43,3.23
2009070612,0.09,1.04,-0.23,102.67,1.06,1.82,-2.67,145.78,3.23,2.98,-0.12,92.38,2.99,3.48,-0.38,96.18,3.5
2009070613,0.125,1.88,-2.56,143.65,3.18,2.66,-0.71,104.88,2.75,3.96,-0.75,100.69,4.03,4.15,-1.26,106.87,4.34
2009070614,0.085,2.27,-2.04,131.88,3.05,2.42,-1.04,113.22,2.63,4.59,-1,102.26,4.7,4.79,-1.57,108.15,5.05
2009070615,0.055,3.02,-1.56,117.41,3.4,2.63,-1.14,113.42,2.87,5.25,-1.23,103.22,5.39,5.34,-1.82,108.84,5.64
2009070616,0.085,4.09,-1.5,110.08,4.36,3.53,-1.07,106.91,3.68,5.83,-1.52,104.6,6.02,5.77,-2,109.15,6.1
2009070617,0.211,5.23,-1.75,108.53,5.52,4.7,-1.01,102.13,4.8,6.31,-1.77,105.64,6.55,6.11,-2.06,108.67,6.45
2009070618,0.266,6.09,-2.14,109.39,6.45,5.58,-1.16,101.76,5.7,6.69,-1.85,105.46,6.94,6.4,-1.95,106.91,6.69
2009070619,0.185,6.4,-2.51,111.41,6.88,5.78,-1.66,106.04,6.01,6.94,-1.71,103.87,7.15,6.64,-1.64,103.9,6.84
2009070620,0.16,6.24,-2.85,114.52,6.86,5.47,-2.32,112.99,5.94,6.9,-1.6,103.03,7.08,6.62,-1.39,101.89,6.77
2009070621,0.075,5.76,-3.18,118.95,6.58,4.99,-2.88,119.96,5.76,6.37,-1.81,105.82,6.62,6.12,-1.5,103.77,6.3
2009070622,0.175,5.08,-3.51,124.62,6.17,4.62,-3.12,124.08,5.58,5.27,-2.51,115.42,5.84,5,-2.12,112.94,5.43
2009070623,0.12,4.34,-3.65,130.07,5.67,4.27,-3.04,125.42,5.24,3.93,-3.27,129.73,5.11,3.6,-2.84,128.26,4.58
2009070700,0.02,3.67,-3.42,132.98,5.01,3.8,-2.64,124.82,4.63,2.79,-3.52,141.54,4.49,2.35,-3.12,142.94,3.91
2009070701,0.05,3.13,-2,122.61,3.71,2.2,-2.87,142.58,3.62,1.61,-2.59,148.11,3.05,2.3,-2.16,133.26,3.15
2009070702,0.07,2.44,-1.28,117.63,2.75,2.06,-1.73,130.06,2.69,1.34,-1.63,140.57,2.1,1.95,-1.51,127.73,2.46
2009070703,0.005,1.99,-0.67,108.58,2.1,2.17,-0.67,107.13,2.28,1.4,-0.78,119.03,1.6,1.8,-1.07,120.81,2.1
2009070704,0,1.95,-0.32,99.44,1.97,2.37,-0.14,93.27,2.38,1.68,-0.46,105.26,1.74,1.84,-0.82,113.94,2.01
2009070705,0.03,2.14,-0.19,95.18,2.15,2.58,-0.01,90.16,2.58,2.09,-0.52,103.88,2.16,2.06,-0.68,108.21,2.17
2009070706,0.02,2.32,-0.18,94.53,2.33,2.72,-0.03,90.55,2.72,2.56,-0.66,104.45,2.64,2.47,-0.6,103.66,2.54
2009070707,0.075,2.33,-0.22,95.32,2.34,2.79,0,90.02,2.79,3.01,-0.66,102.37,3.08,3.06,-0.54,100.05,3.11
2009070708,0.105,2.35,-0.3,97.23,2.37,2.99,-0.02,90.38,2.99,3.47,-0.59,99.6,3.52,3.72,-0.51,97.82,3.76
2009070709,0.16,2.67,-0.45,99.64,2.71,3.55,-0.24,93.85,3.56,4,-0.58,98.27,4.04,4.35,-0.53,96.98,4.39
2009070710,0.18,3.48,-0.7,101.42,3.55,4.6,-0.75,99.29,4.66,4.6,-0.75,99.29,4.66,4.85,-0.64,97.5,4.89
2009070711,0.231,4.53,-1.02,102.73,4.64,5.74,-1.4,103.75,5.91,5.13,-1.1,102.08,5.25,5.16,-0.88,99.69,5.24
2009070712,0.306,5.48,-1.39,104.21,5.65,6.44,-1.98,107.05,6.74,5.43,-1.59,106.3,5.66,5.29,-1.33,104.08,5.45
2009070713,0.286,6.35,-2.3,109.9,6.75,5.39,-2.17,111.96,5.81,5.23,-1.98,110.73,5.59,5.62,-1.84,108.1,5.91
2009070714,0.246,5.77,-2.41,112.66,6.25,5.09,-2.71,118.01,5.77,5.1,-2.61,117.07,5.73,5.95,-2.39,111.86,6.41
2009070715,0.306,5.14,-2.39,114.88,5.67,4.69,-3.03,122.9,5.59,5.08,-2.94,120.04,5.87,6.15,-2.74,114.04,6.73
2009070716,0.306,4.86,-2.31,115.45,5.38,4.34,-3.04,125.01,5.3,5.26,-2.79,117.93,5.96,6.25,-2.94,115.21,6.91
2009070717,0.306,4.93,-2.25,114.48,5.42,4.21,-2.82,123.84,5.06,5.59,-2.44,113.56,6.1,6.3,-3.06,115.89,7
2009070718,0.316,5.28,-2.23,112.9,5.73,4.46,-2.52,119.5,5.12,5.94,-2.26,110.8,6.36,6.35,-3.16,116.47,7.09
2009070719,0.381,5.81,-2.3,111.54,6.25,5.17,-2.27,113.69,5.64,6.22,-2.5,111.9,6.71,6.44,-3.3,117.13,7.24
2009070720,0.411,6.34,-2.37,110.49,6.77,6,-2.07,109.02,6.34,6.37,-2.91,114.6,7,6.52,-3.37,117.36,7.34
2009070721,0.426,6.64,-2.36,109.54,7.04,6.51,-1.91,106.35,6.78,6.32,-3.11,116.18,7.04,6.51,-3.24,116.48,7.27
2009070722,0.391,6.54,-2.18,108.46,6.9,6.38,-1.77,105.49,6.62,6.04,-2.8,114.89,6.65,6.34,-2.82,113.98,6.94
2009070723,0.346,6.12,-1.89,107.13,6.41,5.76,-1.59,105.4,5.97,5.56,-2.16,111.27,5.97,5.99,-2.23,110.44,6.39
2009070800,0.316,5.48,-1.52,105.48,5.68,4.9,-1.29,104.76,5.07,4.95,-1.48,106.63,5.17,5.42,-1.64,106.88,5.66
2009070801,0.271,4.06,-0.86,101.92,4.15,4.28,-0.97,102.77,4.39,4.66,-1.2,104.45,4.81,5.45,-1.1,101.4,5.56
2009070802,0.276,3.35,-0.39,96.65,3.37,3.65,-0.65,100.11,3.71,3.86,-0.91,103.19,3.97,5.12,-0.82,99.12,5.18
2009070803,0.226,2.89,-0.04,90.84,2.89,3.19,-0.48,98.62,3.22,3.23,-0.73,102.77,3.31,4.73,-0.82,99.83,4.8
2009070804,0.276,2.72,0.08,88.22,2.72,2.97,-0.43,98.16,3,2.9,-0.65,102.65,2.97,4.3,-1,103.1,4.42
2009070805,0.216,2.74,0.07,88.58,2.74,2.9,-0.43,98.4,2.93,2.78,-0.62,102.57,2.85,3.87,-1.22,107.51,4.05
2009070806,0.145,2.77,0.03,89.37,2.77,2.83,-0.44,98.73,2.87,2.74,-0.6,102.36,2.81,3.42,-1.31,110.92,3.67
2009070807,0.1,2.69,0.04,89.16,2.69,2.67,-0.42,98.95,2.7,2.67,-0.57,101.99,2.73,3.01,-1.18,111.4,3.23
2009070808,0.07,2.59,-0.06,91.29,2.59,2.52,-0.47,100.65,2.57,2.6,-0.57,102.32,2.66,2.7,-1.03,110.88,2.89
2009070809,0.06,2.59,-0.47,100.31,2.63,2.55,-0.71,105.65,2.65,2.63,-0.68,104.43,2.71,2.62,-1.15,113.62,2.86
2009070810,0.06,2.77,-1.32,115.48,3.07,2.83,-1.22,113.26,3.08,2.78,-0.95,108.81,2.94,2.81,-1.71,121.35,3.29
2009070811,0.045,2.93,-2.36,128.93,3.76,3.12,-1.9,121.26,3.65,2.91,-1.38,115.48,3.22,3.03,-2.53,129.89,3.95
2009070812,0.045,2.82,-3.28,139.39,4.32,3.09,-2.62,130.27,4.05,2.81,-1.98,125.22,3.44,3.01,-3.34,137.99,4.49
2009070813,0.085,2.54,-3.26,142.14,4.13,2.37,-2.7,138.73,3.6,2.54,-3.9,146.93,4.65,2.41,-3.85,147.94,4.54
2009070814,0.085,1.76,-3.72,154.67,4.12,1.8,-3.39,151.95,3.84,1.82,-4.21,156.57,4.59,1.95,-4.31,155.68,4.73
2009070815,0.08,1.21,-3.91,162.87,4.09,1.39,-3.84,160.06,4.09,1.15,-4.32,165.05,4.47,1.62,-4.47,160.13,4.76
2009070816,0.095,1.17,-3.78,162.8,3.96,1.35,-3.95,161.18,4.17,0.76,-4.27,169.96,4.34,1.38,-4.42,162.64,4.63
2009070817,0.05,1.45,-3.53,157.63,3.82,1.53,-3.88,158.4,4.17,0.62,-4.15,171.52,4.19,1.2,-4.26,164.2,4.43
2009070818,0.035,1.72,-3.39,153.16,3.8,1.75,-3.85,155.6,4.22,0.66,-4.01,170.67,4.06,1.05,-4.1,165.65,4.23
2009070819,0.055,1.7,-3.53,154.31,3.92,1.8,-4.02,155.87,4.4,0.79,-3.9,168.6,3.98,0.88,-4.02,167.72,4.12
2009070820,0.04,1.4,-3.75,159.48,4,1.65,-4.22,158.69,4.53,0.86,-3.76,167.15,3.86,0.63,-3.92,170.91,3.97
2009070821,0.035,0.91,-3.77,166.46,3.88,1.26,-4.21,163.29,4.39,0.72,-3.49,168.4,3.56,0.25,-3.66,176.13,3.67
2009070822,0.02,0.31,-3.41,174.77,3.42,0.69,-3.82,169.81,3.88,0.28,-3.04,174.71,3.05,-0.27,-3.17,184.95,3.18
2009070823,0.025,-0.18,-2.88,183.66,2.88,0.16,-3.23,177.13,3.23,-0.22,-2.58,184.79,2.59,-0.76,-2.63,196.08,2.74
2009070900,0.06,-0.36,-2.47,188.19,2.5,-0.01,-2.69,180.18,2.69,-0.47,-2.33,191.46,2.37,-0.98,-2.32,202.81,2.52
2009070901,0.03,0.36,-2.41,171.44,2.44,-0.27,-2.41,186.46,2.43,-0.78,-2.41,197.94,2.53,-0.29,-2.33,187.01,2.35
2009070902,0.045,1.01,-2.34,156.7,2.55,0.21,-2.64,175.37,2.65,-0.32,-2.67,186.95,2.69,-0.04,-2.45,180.91,2.45
2009070903,0.065,1.54,-2.37,146.9,2.83,0.73,-2.75,165.19,2.84,0.15,-2.8,176.97,2.8,0.1,-2.5,177.71,2.5
2009070904,0.075,1.68,-2.4,145.09,2.93,1.06,-2.55,157.45,2.76,0.44,-2.57,170.2,2.61,0.13,-2.45,177.04,2.45
2009070905,0.135,1.48,-2.41,148.48,2.83,1.21,-2.18,150.99,2.49,0.55,-2.16,165.86,2.23,0,-2.21,179.99,2.21
2009070906,0.185,1.11,-2.38,154.92,2.62,1.22,-1.85,146.59,2.22,0.47,-1.82,165.45,1.88,-0.33,-1.68,190.96,1.71
2009070907,0.075,0.71,-2.27,162.56,2.38,1.14,-1.74,146.76,2.09,0.25,-1.72,171.74,1.73,-0.86,-0.84,225.51,1.2
2009070908,0.005,0.35,-2.1,170.49,2.13,0.95,-1.77,151.88,2.01,-0.09,-1.75,183.02,1.75,-1.43,0.1,273.82,1.43
2009070909,0,0.07,-1.84,177.95,1.85,0.6,-1.81,161.59,1.91,-0.52,-1.73,196.7,1.81,-1.82,0.85,295,2.01
2009070910,0,-0.13,-1.51,184.87,1.52,0.09,-1.74,176.88,1.74,-1,-1.53,213.16,1.82,-1.9,1.21,302.49,2.26
2009070911,0.03,-0.34,-1.18,196.1,1.23,-0.48,-1.58,196.98,1.66,-1.48,-1.17,231.58,1.88,-1.8,1.25,304.94,2.19
2009070912,0.03,-0.71,-0.93,217.24,1.17,-1.02,-1.37,216.57,1.71,-1.91,-0.75,248.5,2.05,-1.69,1.12,303.42,2.03
2009070913,0,-1.42,-1.14,231.35,1.82,-2.25,-0.34,261.44,2.28,-1.75,0.93,298.06,1.98,-1.9,0.75,291.53,2.04
2009070914,0,-1.73,-0.87,243.11,1.93,-2.5,0.05,271.12,2.5,-1.96,0.79,291.96,2.11,-2.09,0.77,290.25,2.23
2009070915,0,-1.99,-0.58,253.86,2.07,-2.67,0.41,278.66,2.7,-2.26,0.76,288.63,2.38,-2.3,0.86,290.6,2.45
2009070916,0,-2.26,-0.23,264.3,2.27,-2.75,0.73,284.93,2.85,-2.59,0.9,289.24,2.75,-2.49,1.02,292.27,2.7
2009070917,0,-2.49,0.2,274.57,2.5,-2.76,1.05,290.85,2.96,-2.86,1.19,292.57,3.1,-2.68,1.29,295.74,2.98
2009070918,0.015,-2.65,0.72,285.27,2.75,-2.72,1.39,297.13,3.06,-2.95,1.56,297.86,3.34,-2.85,1.73,301.27,3.34
2009070919,0.005,-2.69,1.34,296.54,3,-2.63,1.76,303.86,3.16,-2.8,1.96,305.03,3.42,-2.99,2.34,308.02,3.8
2009070920,0.025,-2.6,1.92,306.5,3.24,-2.5,2.08,309.85,3.25,-2.48,2.3,312.77,3.38,-3.03,2.88,313.57,4.18
2009070921,0.095,-2.4,2.31,313.88,3.33,-2.34,2.26,314.05,3.25,-2.14,2.47,319.11,3.27,-2.88,3.07,316.81,4.21
2009070922,0.085,-2.11,2.39,318.54,3.19,-2.16,2.24,315.96,3.11,-1.88,2.43,322.29,3.07,-2.5,2.73,317.46,3.7
2009070923,0.13,-1.83,2.28,321.26,2.92,-2.01,2.12,316.51,2.92,-1.72,2.27,322.84,2.84,-2.02,2.16,316.97,2.95
2009071000,0.12,-1.67,2.15,322.18,2.72,-1.91,2.04,316.95,2.79,-1.66,2.12,321.91,2.69,-1.58,1.78,318.43,2.38
2009071001,0.095,-1.88,2.12,318.42,2.83,-1.69,2.09,321.01,2.69,-1.32,1.9,325.09,2.31,-1.52,2.82,331.68,3.2
