date,final,a,b,c,d,a1,b1,c1,d1,a2,b2,c2,d2,a3,b3,c3,d3
2009070713,0.169,-4.04,136.33,5.58,4.39,-3.65,129.69,5.71,3.82,-2.41,122.2,4.52,3.98,-2.89,125.99,4.92,3.85
2009070714,0.228,-4.07,136.2,5.65,4.45,-3.58,128.79,5.71,4.4,-2.57,120.25,5.1,4.46,-2.96,123.52,5.36,3.91
2009070715,0.286,-4.07,135.13,5.74,4.6,-3.47,127.02,5.76,4.92,-3,121.36,5.76,4.94,-3.25,123.33,5.91,4.05
2009070716,0.148,-4.13,133.65,5.99,4.98,-3.46,124.76,6.06,5.24,-3.74,125.51,6.44,5.36,-3.67,124.38,6.49,4.33
2009070717,0.143,-4.24,132.3,6.3,5.45,-3.54,123,6.5,5.39,-4.5,129.84,7.02,5.63,-4.08,125.93,6.96,4.66
2009070718,0.153,-4.34,131.44,6.56,5.79,-3.68,122.44,6.86,5.41,-4.89,132.07,7.29,5.66,-4.35,127.57,7.14,4.91
2009070719,0.196,-4.4,131.23,6.67,5.82,-3.83,123.34,6.96,5.35,-4.66,131.02,7.09,5.38,-4.38,129.15,6.94,5.02
2009070720,0.243,-4.39,131.42,6.63,5.59,-3.94,125.17,6.84,5.23,-4.1,128.12,6.65,4.97,-4.24,130.5,6.53,4.97
2009070721,0.317,-4.3,131.7,6.47,5.2,-3.97,127.31,6.54,5.06,-3.66,125.88,6.24,4.61,-4.04,131.25,6.13,4.83
2009070722,0.344,-4.12,131.82,6.18,4.75,-3.87,129.18,6.12,4.84,-3.62,126.81,6.05,4.44,-3.86,130.99,5.88,4.6
2009070723,0.286,-3.81,131.83,5.71,4.22,-3.62,130.61,5.56,4.5,-3.75,129.83,5.86,4.29,-3.62,130.16,5.61,4.26
2009070800,0.254,-3.35,131.83,5.02,3.61,-3.2,131.48,4.82,3.92,-3.66,133,5.36,3.91,-3.22,129.5,5.06,3.74
2009070801,0.19,-2.61,131.67,3.92,3.07,-3.09,135.13,4.36,3.15,-2.61,129.71,4.09,2.75,-2.51,132.39,3.73,2.93
2009070802,0.143,-2.02,131.65,3.04,2.18,-2.32,136.71,3.18,2.25,-1.99,131.52,3,2.09,-2.11,135.39,2.97,2.27
2009070803,0.159,-1.64,132.73,2.41,1.54,-1.74,138.63,2.32,1.55,-1.6,135.97,2.23,1.73,-1.91,137.89,2.58,1.77
2009070804,0.138,-1.59,136.51,2.2,1.33,-1.67,141.51,2.14,1.29,-1.62,141.46,2.07,1.6,-1.86,139.33,2.45,1.51
2009070805,0.069,-1.8,141.75,2.29,1.35,-1.98,145.62,2.4,1.35,-1.91,144.82,2.33,1.58,-1.91,140.39,2.48,1.42
2009070806,0.063,-2.1,146.83,2.5,1.31,-2.45,151.87,2.78,1.49,-2.25,146.53,2.7,1.56,-2.02,142.39,2.56,1.37
2009070807,0.058,-2.35,151.59,2.68,0.98,-2.88,161.21,3.04,1.54,-2.48,148.25,2.92,1.45,-2.15,146.04,2.59,1.27
2009070808,0.063,-2.54,156,2.78,0.5,-3.15,170.89,3.19,1.44,-2.6,150.99,2.98,1.32,-2.22,149.36,2.58,1.13
2009070809,0.101,-2.64,159.81,2.82,0.11,-3.15,177.97,3.15,1.21,-2.66,155.64,2.93,1.27,-2.17,149.6,2.51,0.97
2009070810,0.053,-2.68,163.33,2.79,-0.04,-2.83,180.81,2.83,0.84,-2.7,162.79,2.83,1.37,-1.97,145.1,2.4,0.8
2009070811,0.042,-2.7,169.31,2.75,-0.07,-2.36,181.6,2.37,0.41,-2.69,171.26,2.72,1.47,-1.78,140.52,2.31,0.51
2009070812,0.048,-2.78,180.79,2.78,-0.15,-1.96,184.47,1.97,0.04,-2.61,179.14,2.61,1.35,-1.82,143.33,2.27,-0.04
2009070813,0.042,-1.78,193.06,1.83,-0.2,-2.45,184.61,2.46,0.92,-2.2,157.37,2.39,0.69,-2.86,166.49,2.94,-0.41
2009070814,0.026,-1.78,200.71,1.9,-0.24,-2.28,186,2.29,0.39,-2.71,171.81,2.74,0.35,-3.27,173.89,3.28,-0.67
2009070815,0.011,-1.83,200.37,1.96,-0.04,-2.19,180.98,2.19,0.09,-3.05,178.37,3.05,0.29,-3.37,175.09,3.38,-0.68
2009070816,0.005,-1.87,188.58,1.89,0.41,-2.24,169.53,2.28,0.23,-2.98,175.67,2.99,0.44,-3.26,172.36,3.29,-0.28
2009070817,0.021,-1.89,170.37,1.92,0.95,-2.37,158.2,2.56,0.64,-2.68,166.56,2.75,0.71,-3.04,166.8,3.12,0.32
2009070818,0.042,-1.97,157.09,2.14,1.36,-2.48,151.35,2.83,1.07,-2.38,155.81,2.6,1.03,-2.81,159.87,3,0.83
2009070819,0.037,-2.12,153.99,2.36,1.49,-2.49,149.14,2.9,1.3,-2.26,150.03,2.6,1.32,-2.67,153.64,2.98,1.03
2009070820,0.032,-2.24,156.22,2.45,1.47,-2.43,148.82,2.84,1.38,-2.26,148.67,2.65,1.58,-2.59,148.72,3.04,0.99
2009070821,0.005,-2.24,159.34,2.4,1.48,-2.33,147.56,2.76,1.39,-2.28,148.58,2.67,1.79,-2.55,144.91,3.12,0.85
2009070822,0.069,-2.04,160.55,2.16,1.65,-2.24,143.66,2.78,1.42,-2.22,147.38,2.64,1.97,-2.51,141.9,3.19,0.72
2009070823,0.101,-1.73,159.83,1.85,1.84,-2.17,139.76,2.85,1.45,-2.12,145.61,2.57,2.06,-2.44,139.84,3.19,0.64
2009070900,0.116,-1.47,157.92,1.59,1.85,-2.13,138.97,2.83,1.45,-2.05,144.67,2.51,2.01,-2.32,138.99,3.07,0.6
2009070901,0.101,-2.11,143.81,2.62,1.38,-2.04,145.84,2.46,1.79,-2.13,139.95,2.79,1.93,-1.4,125.94,2.38,1.55
2009070902,0.042,-2.08,155.32,2.29,1.18,-2,149.56,2.33,1.36,-1.93,144.67,2.36,1.56,-1.3,129.7,2.03,0.96
2009070903,0.005,-1.98,174.97,1.99,0.77,-1.84,157.27,2,0.71,-1.74,157.96,1.88,0.87,-1.33,146.89,1.59,0.17
2009070904,0,-1.79,201.16,1.92,0.14,-1.48,174.61,1.49,-0.16,-1.62,185.61,1.63,0,-1.43,179.84,1.43,-0.69
2009070905,0,-1.52,224.27,2.12,-0.56,-1.04,208.28,1.18,-1.01,-1.53,213.4,1.83,-0.8,-1.49,208.14,1.69,-1.48
2009070906,0,-1.22,238.95,2.36,-1.11,-0.65,239.83,1.29,-1.56,-1.41,227.89,2.11,-1.29,-1.4,222.5,1.9,-2.02
2009070907,0,-0.9,247.58,2.37,-1.39,-0.43,252.85,1.45,-1.65,-1.24,233.09,2.06,-1.3,-1.1,229.91,1.7,-2.19
2009070908,0,-0.6,254.44,2.24,-1.48,-0.32,257.77,1.51,-1.47,-1,235.93,1.78,-1.06,-0.67,237.83,1.25,-2.16
2009070909,0,-0.31,261.72,2.16,-1.55,-0.23,261.7,1.57,-1.33,-0.68,242.91,1.5,-0.85,-0.24,254.25,0.88,-2.14
2009070910,0,-0.03,269.31,2.29,-1.72,-0.06,268.06,1.72,-1.43,-0.29,258.73,1.46,-0.88,0.09,275.88,0.89,-2.29
2009070911,0,0.32,277.26,2.51,-1.88,0.23,277.03,1.9,-1.62,0.22,277.79,1.64,-1.06,0.38,289.9,1.13,-2.49
2009070912,0.005,0.8,287.49,2.68,-1.88,0.68,289.98,2,-1.64,0.88,298.08,1.86,-1.18,0.74,301.95,1.39,-2.55
2009070913,0,1.32,308.97,2.09,-1.33,1.68,321.63,2.15,-1.12,1.23,317.74,1.66,-0.68,1.81,339.4,1.94,-1.63
2009070914,0,2.06,327.81,2.43,-0.86,2.53,341.15,2.68,-0.95,1.84,332.76,2.07,-0.37,2.24,350.69,2.27,-1.3
2009070915,0.011,2.82,338.14,3.04,-0.49,3.28,351.49,3.32,-0.82,2.53,342.07,2.66,-0.19,2.67,355.88,2.68,-1.13
2009070916,0.011,3.52,339.77,3.76,-0.4,3.83,354.04,3.85,-0.83,3.26,345.72,3.37,-0.15,3.11,357.22,3.11,-1.3
2009070917,0.005,4.17,338.4,4.48,-0.51,4.21,353.08,4.25,-0.88,3.94,347.34,4.04,-0.25,3.55,355.96,3.56,-1.65
2009070918,0.037,4.76,337.66,5.14,-0.68,4.51,351.46,4.56,-0.84,4.47,349.34,4.55,-0.5,4.03,352.86,4.06,-1.96
2009070919,0.106,5.28,338.73,5.66,-0.79,4.77,350.55,4.84,-0.63,4.78,352.54,4.82,-0.91,4.54,348.7,4.63,-2.05
2009070920,0.185,5.59,339.92,5.95,-0.93,4.93,349.32,5.01,-0.43,4.89,355,4.91,-1.38,4.95,344.42,5.14,-2.04
2009070921,0.302,5.54,339.31,5.92,-1.2,4.88,346.24,5.02,-0.5,4.82,354.03,4.85,-1.83,5.11,340.32,5.42,-2.09
2009070922,0.429,5.02,335.38,5.53,-1.65,4.57,340.16,4.86,-1.01,4.61,347.63,4.72,-2.16,4.9,336.17,5.36,-2.3
2009070923,0.46,4.25,328.9,4.96,-2.13,4.08,332.37,4.6,-1.7,4.26,338.2,4.59,-2.37,4.41,331.74,5,-2.56
2009071000,0.413,3.46,322.18,4.39,-2.44,3.52,325.24,4.28,-2.23,3.75,329.22,4.37,-2.43,3.75,327.06,4.47,-2.69
2009071001,0.487,3,321.07,3.86,-2.35,3.11,322.95,3.9,-2.35,3.05,322.44,3.85,-1.98,3.2,328.31,3.76,-2.43
