date,final,a,b,c,d,a1,b1,c1,d1,a2,b2,c2,d2,a3,b3,c3,d3
2009070323,0.049,-3.98,140.42,5.16,3.4,-3.54,136.15,4.91,3.82,-3.48,132.3,5.16,3.58,-3.44,133.83,4.96,3.29
2009070400,0.148,-3.37,143.09,4.22,2.74,-2.96,137.17,4.03,3.03,-3.14,136,4.36,2.73,-3.11,138.72,4.13,2.53
2009070401,0.079,-2.68,140.96,3.45,2.27,-2.75,140.47,3.56,2.28,-2.63,139.08,3.48,3.07,-3.16,135.8,4.4,2.18
2009070402,0.089,-2.66,146.71,3.18,1.66,-2.37,145.07,2.9,2.12,-2.17,135.62,3.03,2.74,-2.83,135.97,3.94,1.75
2009070403,0.168,-2.74,151.96,3.11,1.32,-2.09,147.67,2.48,2.01,-1.91,133.45,2.77,2.47,-2.66,137.14,3.63,1.46
2009070404,0.148,-2.81,154.93,3.1,1.34,-1.95,145.58,2.37,1.79,-1.97,137.75,2.66,2.26,-2.6,138.97,3.44,1.31
2009070405,0.04,-2.79,156.01,3.06,1.56,-1.88,140.37,2.44,1.52,-2.17,145.06,2.65,2.09,-2.56,140.78,3.3,1.24
2009070406,0.059,-2.64,156.15,2.89,1.79,-1.78,134.76,2.52,1.34,-2.26,149.46,2.63,1.92,-2.45,141.89,3.11,1.17
2009070407,0.326,-2.35,156.01,2.58,1.89,-1.59,130.12,2.47,1.34,-2.07,147.14,2.47,1.75,-2.22,141.71,2.83,1.05
2009070408,0.346,-2.07,155.28,2.28,1.86,-1.47,128.43,2.37,1.5,-1.79,140.04,2.33,1.66,-1.99,140.22,2.59,0.95
2009070409,0.455,-1.98,153.4,2.22,1.74,-1.62,132.89,2.38,1.76,-1.69,133.97,2.44,1.73,-1.92,138.02,2.59,0.99
2009070410,0.257,-2.21,151.12,2.53,1.58,-2.14,143.5,2.66,2.05,-1.98,134.1,2.85,2.01,-2.12,136.45,2.92,1.22
2009070411,0.247,-2.68,150.66,3.07,1.42,-2.84,153.44,3.18,2.3,-2.51,137.59,3.41,2.36,-2.45,136.1,3.41,1.5
2009070412,0.049,-3.22,152.76,3.62,1.29,-3.44,159.51,3.68,2.43,-3.06,141.6,3.9,2.59,-2.77,136.86,3.79,1.66
2009070413,0,-3.73,162.07,3.92,2.38,-3.43,145.2,4.17,2.57,-2.91,138.63,3.88,1.83,-3.49,152.34,3.94,1.21
2009070414,0,-3.74,162.64,3.91,2.23,-3.58,148.05,4.22,2.36,-2.89,140.79,3.73,1.8,-3.55,153.07,3.98,1.17
2009070415,0.01,-3.55,162.14,3.73,2.06,-3.5,149.53,4.06,2.09,-2.72,142.46,3.44,1.89,-3.37,150.65,3.86,1.14
2009070416,0.03,-3.24,160.93,3.43,1.94,-3.22,148.93,3.76,1.88,-2.46,142.55,3.1,2.04,-3.02,145.97,3.65,1.12
2009070417,0.059,-2.87,158.29,3.09,1.86,-2.84,146.83,3.39,1.78,-2.2,141.03,2.83,2.2,-2.68,140.52,3.47,1.14
2009070418,0.089,-2.45,152.79,2.75,1.77,-2.49,144.58,3.06,1.83,-2.08,138.7,2.77,2.34,-2.5,136.88,3.42,1.26
2009070419,0.109,-1.99,143.34,2.48,1.64,-2.25,144.01,2.78,2.01,-2.13,136.59,2.93,2.39,-2.57,137.09,3.51,1.48
2009070420,0.119,-1.45,131,2.21,1.35,-2,146.03,2.42,2.15,-2.03,133.24,2.96,2.23,-2.59,139.27,3.42,1.67
2009070421,0.099,-0.76,114.95,1.81,0.8,-1.57,153.06,1.76,2.01,-1.35,123.95,2.42,1.72,-2.17,141.46,2.77,1.64
2009070422,0.089,0.09,85.94,1.26,-0.08,-0.84,185.3,0.84,1.43,0.12,85.18,1.43,0.8,-1.04,142.54,1.31,1.26
2009070423,0.069,0.9,36.33,1.11,-1.09,0,270.13,1.09,0.62,1.85,18.39,1.95,-0.3,0.38,321.76,0.48,0.66
2009070500,0.079,1.4,0.62,1.4,-2,0.72,289.79,2.13,-0.12,3.12,357.74,3.12,-1.25,1.55,321.19,1.99,0.02
2009070501,0.059,1.14,293.57,2.84,-0.56,3.41,350.71,3.45,-1.8,2.08,319.07,2.75,-0.36,1.4,345.45,1.45,-2.61
2009070502,0.059,1.36,295.3,3.18,-0.7,3.06,347.08,3.14,-2.01,2.17,317.11,2.96,-0.33,1.91,350.16,1.94,-2.87
2009070503,0.069,1.56,298.97,3.21,-0.63,2.63,346.48,2.7,-1.99,2.16,317.38,2.94,-0.01,2.18,359.73,2.18,-2.81
2009070504,0.049,1.86,307.12,3.08,-0.42,2.53,350.7,2.57,-1.84,2.34,321.81,2.97,0.5,2.23,12.71,2.28,-2.45
2009070505,0,2.18,318.6,2.91,-0.09,2.69,358.05,2.69,-1.56,2.59,328.94,3.02,1.08,2.08,27.4,2.35,-1.92
2009070506,0,2.39,330.43,2.75,0.31,2.85,6.17,2.87,-1.14,2.74,337.34,2.97,1.6,1.77,42.01,2.38,-1.36
2009070507,0,2.42,340.09,2.57,0.75,2.84,14.82,2.94,-0.6,2.66,347.34,2.73,1.95,1.33,55.76,2.36,-0.88
2009070508,0,2.37,348.83,2.41,1.2,2.59,24.93,2.85,-0.02,2.45,359.62,2.45,2.16,0.86,68.2,2.32,-0.47
2009070509,0,2.4,357.78,2.4,1.62,2.05,38.34,2.62,0.48,2.26,12.06,2.31,2.27,0.52,77.18,2.33,-0.09
2009070510,0,2.63,6.09,2.64,1.96,1.23,57.8,2.31,0.82,2.21,20.28,2.35,2.33,0.38,80.78,2.37,0.28
2009070511,0,2.96,12.6,3.03,2.11,0.26,82.88,2.12,1.04,2.24,24.77,2.47,2.34,0.36,81.25,2.37,0.66
2009070512,0,3.25,17.99,3.42,1.94,-0.7,109.76,2.06,1.23,2.29,28.28,2.6,2.28,0.33,81.79,2.31,1.06
2009070513,0,-1.5,136.51,2.07,1.47,2.26,32.98,2.69,2.16,0.19,84.89,2.17,2.3,0.45,78.85,2.35,1.42
2009070514,0,-2.05,158.55,2.21,1.7,2.11,38.9,2.71,2.02,0.02,89.52,2.02,2.16,0.09,87.55,2.16,0.81
2009070515,0,-2.28,169.48,2.32,1.88,1.81,46.21,2.61,1.89,-0.1,92.95,1.89,1.98,-0.12,93.38,1.99,0.42
2009070516,0.02,-2.15,166.49,2.21,1.96,1.33,55.85,2.37,1.81,-0.08,92.47,1.82,1.81,-0.18,95.82,1.82,0.52
2009070517,0.069,-1.84,151.92,2.09,1.96,0.79,68.01,2.11,1.77,0.02,89.41,1.77,1.66,-0.11,93.93,1.66,0.98
2009070518,0.099,-1.59,134.33,2.28,1.91,0.32,80.56,1.94,1.74,0.1,86.57,1.74,1.58,0.09,86.81,1.58,1.63
2009070519,0.138,-1.57,124.5,2.77,1.84,0.03,89.18,1.84,1.69,0.14,85.32,1.69,1.59,0.41,75.46,1.64,2.28
2009070520,0.168,-1.65,120.71,3.24,1.72,-0.04,91.24,1.72,1.63,0.27,80.74,1.65,1.69,0.83,63.76,1.88,2.78
2009070521,0.168,-1.67,119.14,3.44,1.5,0.16,84.09,1.51,1.58,0.68,66.78,1.72,1.87,1.32,54.78,2.29,3
2009070522,0.128,-1.51,117.78,3.23,1.16,0.56,64.34,1.29,1.54,1.46,46.64,2.13,2.09,1.79,49.46,2.75,2.86
2009070523,0.119,-1.25,116.6,2.8,0.83,0.84,44.83,1.18,1.48,2.26,33.29,2.7,2.2,1.93,48.86,2.93,2.5
2009070600,0.119,-1.08,116.63,2.41,0.65,0.57,48.63,0.87,1.34,2.62,27.15,2.94,2.03,1.36,56.16,2.45,2.15
2009070601,0.158,-0.44,121.71,0.84,1.1,2.24,26.17,2.5,1.48,-0.04,91.63,1.48,0.41,-0.68,149.07,0.8,0.71
2009070602,0.168,-1.59,151.21,1.82,0.87,1.52,29.75,1.75,0.79,-1.53,152.77,1.72,-0.4,-1.71,192.98,1.76,0.87
2009070603,0.119,-2.07,155.66,2.27,0.77,0.99,37.97,1.26,0.26,-2.12,172.93,2.13,-0.52,-1.82,195.99,1.9,0.93
2009070604,0.128,-1.33,149.75,1.54,0.91,1.05,41.02,1.39,0.15,-1.18,172.72,1.19,-0.16,-1.32,187.04,1.33,0.77
2009070605,0.257,0.08,82.6,0.61,1.2,1.43,40.1,1.87,0.4,0.48,39.3,0.62,0.46,-0.64,144.31,0.79,0.6
2009070606,0.079,1.33,28.35,1.51,1.51,1.7,41.69,2.27,0.87,1.71,26.98,1.92,1.13,-0.25,102.62,1.16,0.72
2009070607,0.03,1.78,35.63,2.2,1.75,1.55,48.48,2.34,1.44,1.66,40.97,2.2,1.64,-0.46,105.6,1.7,1.28
2009070608,0.03,1.59,50.92,2.52,2,1.17,59.66,2.31,1.98,0.83,67.27,2.15,1.95,-0.96,116.26,2.17,1.95
2009070609,0.049,1.06,65.05,2.51,2.35,0.85,70.19,2.5,2.37,0.04,88.96,2.37,2.03,-1.31,122.82,2.41,2.27
2009070610,0.119,0.48,75.98,1.98,2.87,0.77,74.97,2.97,2.53,-0.09,92.13,2.53,1.91,-1.17,121.47,2.24,1.92
2009070611,0.069,-0.05,92.47,1.13,3.36,0.65,78.99,3.42,2.61,0.2,85.7,2.62,1.82,-0.7,111.18,1.95,1.13
2009070612,0.128,-0.47,148.3,0.55,3.58,0.1,88.45,3.58,2.82,0.48,80.3,2.86,2.03,-0.2,95.63,2.04,0.29
2009070613,0.049,-1.14,108.64,3.56,3.3,0.43,82.6,3.32,2.71,0.1,87.89,2.72,3.77,-1.6,113.03,4.09,3.38
2009070614,0.069,-2.65,131.94,3.96,3.93,0.09,88.74,3.93,3.67,0.11,88.34,3.67,4.15,-1.76,112.96,4.5,2.94
2009070615,0.326,-3.86,146.24,4.64,4.53,-0.39,94.97,4.54,4.6,-0.23,92.87,4.6,4.59,-1.99,113.37,5,2.58
2009070616,0.405,-4.36,150.21,5.02,4.96,-0.88,100.1,5.04,5.25,-0.91,99.8,5.33,5.05,-2.24,113.86,5.53,2.5
2009070617,0.366,-4.33,148.81,5.06,5.28,-1.34,104.28,5.45,5.63,-1.7,106.81,5.88,5.47,-2.46,114.19,6,2.62
2009070618,0.316,-4.11,145.59,4.98,5.58,-1.75,107.46,5.85,5.81,-2.34,111.94,6.27,5.8,-2.61,114.21,6.36,2.81
2009070619,0.247,-3.98,143.84,4.93,5.87,-2.1,109.64,6.23,5.84,-2.62,114.16,6.4,5.97,-2.63,113.77,6.52,2.91
2009070620,0.217,-4.06,146.61,4.86,5.86,-2.34,111.79,6.31,5.67,-2.59,114.58,6.23,5.91,-2.45,112.52,6.4,2.68
2009070621,0.277,-4.43,157.09,4.8,5.15,-2.47,115.6,5.71,5.22,-2.38,114.48,5.73,5.55,-2,109.78,5.9,1.87
2009070622,0.128,-5.08,175.66,5.09,3.55,-2.5,125.17,4.34,4.44,-2.12,115.52,4.92,4.83,-1.29,104.91,5,0.39
2009070623,0.059,-5.75,192.72,5.89,1.52,-2.67,150.42,3.08,3.39,-2.1,121.78,3.99,3.86,-0.77,101.22,3.94,-1.3
2009070700,0.03,-6.11,202.7,6.63,-0.29,-3.28,185.04,3.3,2.13,-2.62,140.81,3.38,2.79,-0.98,109.4,2.96,-2.56
2009070701,0,-4.45,197.17,4.66,0.77,-3.79,168.51,3.86,1.74,-2.24,142.13,2.83,2.36,-2.36,134.94,3.34,-1.37
2009070702,0.02,-5.61,197.81,5.89,-0.46,-5.01,185.27,5.03,0.76,-3.82,168.8,3.89,1.06,-3.34,162.37,3.51,-1.8
2009070703,0.336,-6.05,196.39,6.3,-1.29,-5.51,193.17,5.66,-0.12,-4.79,181.4,4.79,0.17,-3.62,177.26,3.63,-1.78
2009070704,0.395,-5.27,195.72,5.48,-1.53,-4.78,197.72,5.02,-0.83,-4.47,190.47,4.55,-0.34,-3.4,185.74,3.42,-1.48
2009070705,0.237,-3.78,194.57,3.91,-1.33,-3.36,201.58,3.61,-1.23,-3.34,200.17,3.56,-0.51,-2.9,190.01,2.94,-0.98
2009070706,0.069,-2.3,187.75,2.32,-0.93,-2.07,204.26,2.27,-1.16,-2.16,208.21,2.45,-0.36,-2.34,188.8,2.37,-0.31
2009070707,0,-1.43,161.41,1.5,-0.53,-1.54,198.87,1.63,-0.53,-1.53,199.24,1.62,0.07,-1.92,177.93,1.92,0.48
2009070708,0.02,-1.17,131.43,1.76,-0.08,-1.63,182.69,1.63,0.42,-1.46,163.99,1.52,0.7,-1.76,158.46,1.9,1.32
2009070709,0.158,-1.4,123.21,2.55,0.5,-2.01,165.93,2.07,1.39,-1.79,142.14,2.27,1.42,-1.97,144.17,2.42,2.13
2009070710,0.099,-1.97,124.76,3.45,1.26,-2.41,152.44,2.72,2.14,-2.38,138.03,3.2,2.14,-2.56,140.01,3.34,2.83
2009070711,0.089,-2.65,128.23,4.29,2.04,-2.78,143.74,3.45,2.66,-3.06,139.08,4.05,2.8,-3.29,139.63,4.32,3.37
2009070712,0.099,-3.23,131.08,4.91,2.66,-3.15,139.76,4.12,2.98,-3.67,140.92,4.73,3.32,-3.87,139.33,5.1,3.7
2009070713,0.198,-3.52,139.43,4.63,3.18,-4.07,141.99,5.16,3.68,-4.05,137.72,5.47,4.39,-3.71,130.23,5.75,3.01
2009070714,0.346,-3.85,139.99,5.03,3.38,-4.27,141.63,5.44,4.03,-3.99,134.73,5.67,4.93,-3.89,128.32,6.28,3.23
2009070715,0.296,-4.11,139.14,5.43,3.72,-4.32,139.22,5.7,4.54,-3.92,130.75,6,5.36,-4.11,127.51,6.75,3.56
2009070716,0.356,-4.26,135.92,5.93,4.3,-4.27,134.8,6.07,5.31,-4.01,127.06,6.66,5.63,-4.35,127.7,7.12,4.13
2009070717,0.326,-4.37,132.11,6.51,4.98,-4.21,130.2,6.53,5.96,-4.25,125.45,7.32,5.69,-4.62,129.09,7.33,4.83
2009070718,0.425,-4.5,129.4,7.08,5.57,-4.21,127.09,6.99,6.02,-4.54,127.02,7.54,5.45,-4.92,132.06,7.34,5.47
2009070719,0.543,-4.71,128.77,7.51,5.86,-4.33,126.48,7.29,5.16,-4.81,132.96,7.05,4.88,-5.24,137.02,7.16,5.86
2009070720,0.504,-4.95,130.83,7.58,5.59,-4.52,129,7.19,3.74,-4.98,143.1,6.23,4.02,-5.48,143.76,6.79,5.73
2009070721,0.306,-5.19,136.95,7.1,4.47,-4.71,136.49,6.49,2.25,-4.99,155.69,5.47,2.92,-5.52,152.13,6.25,4.84
2009070722,0.208,-5.32,149.82,6.16,2.41,-4.8,153.32,5.37,1.09,-4.77,167.08,4.89,1.67,-5.28,162.42,5.54,3.09
2009070723,0.188,-5.22,168.78,5.32,0.08,-4.68,179.07,4.68,0.23,-4.35,177.04,4.36,0.41,-4.82,175.14,4.84,1.03
2009070800,0.089,-4.71,187.54,4.75,-1.69,-4.22,201.79,4.54,-0.51,-3.78,187.67,3.81,-0.73,-4.23,189.75,4.29,-0.62
2009070801,0.04,-3.38,213.92,4.08,-1.21,-3.09,201.45,3.32,-1.61,-3.59,204.1,3.93,1.33,-3.34,158.24,3.59,-2.27
2009070802,0.03,-2.48,219.86,3.23,-1.81,-2.38,217.24,2.99,-2.14,-2.92,216.22,3.62,1.23,-2.95,157.35,3.2,-2.07
2009070803,0.01,-1.91,221.73,2.56,-2.17,-1.75,231.11,2.79,-2.26,-2.25,225.18,3.19,0.75,-2.7,164.5,2.8,-1.7
2009070804,0,-1.93,220.12,2.52,-2.2,-1.29,239.69,2.55,-1.94,-1.6,230.53,2.52,0.06,-2.56,178.7,2.56,-1.63
2009070805,0,-2.28,215.66,2.8,-1.97,-1.05,241.81,2.23,-1.36,-1.12,230.44,1.76,-0.6,-2.51,193.49,2.58,-1.63
2009070806,0,-2.53,207.81,2.86,-1.55,-1.1,234.72,1.9,-0.72,-0.97,216.62,1.21,-0.97,-2.52,201.08,2.7,-1.34
2009070807,0.04,-2.41,191.45,2.46,-1.04,-1.42,216.02,1.76,-0.22,-1.25,189.94,1.27,-0.88,-2.59,198.81,2.73,-0.49
2009070808,0.079,-2.1,164.02,2.19,-0.51,-1.91,195.05,1.98,0.14,-1.81,175.64,1.81,-0.48,-2.68,190.18,2.72,0.6
2009070809,0.049,-1.92,142.13,2.43,-0.06,-2.38,181.56,2.38,0.38,-2.4,171.1,2.43,-0.01,-2.77,180.16,2.77,1.49
2009070810,0.04,-2.09,138.3,2.8,0.25,-2.7,174.61,2.71,0.53,-2.85,169.5,2.9,0.34,-2.86,173.14,2.88,1.86
2009070811,0.089,-2.52,143.19,3.14,0.5,-2.85,170.04,2.9,0.66,-3.13,168.1,3.2,0.55,-2.96,169.38,3.01,1.88
2009070812,0.079,-3.02,148.47,3.55,0.76,-2.87,165.13,2.97,0.84,-3.23,165.48,3.34,0.64,-3.08,168.17,3.14,1.86
2009070813,0.01,-2.79,158.46,3,1.11,-3.18,160.79,3.37,0.64,-3.22,168.72,3.29,1.49,-3.1,154.24,3.44,1.1
2009070814,0,-2.66,151.01,3.04,1.43,-3.05,154.96,3.37,0.6,-3.36,169.79,3.41,1.7,-3.17,151.79,3.59,1.48
2009070815,0,-2.58,144.71,3.16,1.71,-2.92,149.59,3.38,0.59,-3.41,170.23,3.46,1.48,-3.35,156.13,3.66,1.83
2009070816,0,-2.61,141.39,3.34,1.89,-2.85,146.43,3.42,0.63,-3.36,169.44,3.41,0.97,-3.59,164.88,3.72,2.08
2009070817,0,-2.74,142.33,3.46,1.88,-2.88,146.79,3.44,0.64,-3.22,168.83,3.28,0.32,-3.82,175.15,3.84,2.11
2009070818,0.02,-2.96,148.91,3.45,1.6,-3,151.99,3.4,0.51,-3.05,170.58,3.1,-0.29,-3.96,184.18,3.97,1.78
2009070819,0.04,-3.22,162.36,3.38,0.99,-3.21,162.86,3.35,0.16,-2.91,176.77,2.91,-0.74,-3.95,190.67,4.02,1.02
2009070820,0.059,-3.38,179.02,3.38,0.2,-3.4,176.6,3.4,-0.33,-2.8,186.63,2.82,-1.07,-3.87,195.48,4.02,0.06
2009070821,0.03,-3.26,194.24,3.36,-0.58,-3.46,189.51,3.51,-0.86,-2.74,197.4,2.87,-1.35,-3.83,199.35,4.06,-0.83
2009070822,0.02,-2.75,207.14,3.09,-1.2,-3.3,200.04,3.51,-1.34,-2.73,206.22,3.04,-1.61,-3.89,202.5,4.21,-1.41
2009070823,0.02,-2.06,220.19,2.69,-1.66,-2.98,209.09,3.41,-1.72,-2.69,212.57,3.19,-1.8,-3.9,204.82,4.29,-1.74
2009070900,0,-1.47,232.77,2.43,-1.95,-2.57,217.25,3.23,-1.92,-2.53,217.22,3.18,-1.83,-3.66,206.54,4.1,-1.93
2009070901,0,-2.17,224.27,3.02,-1.94,-2.22,221.17,2.94,-1.65,-3.08,208.11,3.49,-1.81,-1.13,237.98,2.13,-2.11
2009070902,0,-1.85,228.87,2.81,-1.85,-1.85,224.97,2.62,-1.39,-2.37,210.32,2.74,-1.87,-1.05,240.84,2.15,-2.12
2009070903,0,-1.71,228.94,2.6,-1.78,-1.6,228.1,2.39,-1.23,-1.83,213.87,2.2,-1.85,-1.11,239.06,2.16,-1.96
2009070904,0,-1.79,222.72,2.44,-1.8,-1.55,229.24,2.38,-1.28,-1.67,217.6,2.1,-1.77,-1.27,234.34,2.18,-1.65
2009070905,0,-1.96,213.03,2.34,-1.85,-1.65,228.2,2.48,-1.44,-1.78,219.09,2.29,-1.67,-1.46,228.93,2.22,-1.27
2009070906,0,-2.03,204.37,2.23,-1.81,-1.78,225.5,2.54,-1.53,-1.96,218.04,2.49,-1.59,-1.59,225.04,2.25,-0.92
2009070907,0,-1.9,199.68,2.02,-1.62,-1.85,221.25,2.46,-1.44,-2.05,214.99,2.51,-1.56,-1.62,224,2.25,-0.68
2009070908,0,-1.73,198.31,1.82,-1.38,-1.9,215.95,2.35,-1.28,-2.05,212.01,2.42,-1.57,-1.59,224.67,2.24,-0.57
2009070909,0.01,-1.75,198.96,1.85,-1.22,-2,211.3,2.34,-1.25,-1.98,212.34,2.34,-1.61,-1.59,225.33,2.27,-0.6
2009070910,0.01,-2.1,200.07,2.24,-1.24,-2.17,209.71,2.5,-1.48,-1.85,218.71,2.37,-1.67,-1.66,225.09,2.35,-0.77
2009070911,0.01,-2.47,202.7,2.68,-1.43,-2.28,212.2,2.69,-1.89,-1.61,229.64,2.48,-1.75,-1.67,226.38,2.42,-1.03
2009070912,0.01,-2.47,208.93,2.82,-1.75,-2.12,219.43,2.75,-2.35,-1.18,243.4,2.63,-1.88,-1.45,232.47,2.38,-1.37
2009070913,0,-1.6,233.15,2.66,-2.75,-0.53,259.1,2.8,-2.08,-0.89,246.83,2.26,-1.04,-0.98,226.62,1.43,-2.13
2009070914,0.01,-0.84,251.71,2.67,-3.09,0.16,273.06,3.09,-2.37,-0.15,266.29,2.37,-1.35,-0.6,246.1,1.48,-2.54
2009070915,0.02,-0.05,268.99,2.91,-3.39,0.68,281.4,3.46,-2.77,0.54,281.14,2.82,-2.03,-0.1,267.31,2.03,-2.91
2009070916,0.04,0.59,280.44,3.26,-3.69,0.87,283.32,3.8,-3.28,1.02,287.35,3.43,-2.88,0.46,279.05,2.92,-3.21
2009070917,0.079,1.05,286.9,3.62,-3.97,0.84,281.89,4.06,-3.77,1.26,288.5,3.97,-3.64,0.96,284.74,3.76,-3.47
2009070918,0.119,1.33,289.68,3.95,-4.2,0.73,279.9,4.26,-4.07,1.27,287.27,4.27,-4.01,1.29,287.81,4.21,-3.72
2009070919,0.148,1.43,289.71,4.23,-4.35,0.69,279,4.41,-4.09,1.08,284.79,4.23,-3.81,1.38,289.85,4.05,-3.98
2009070920,0.168,1.37,288.29,4.36,-4.37,0.66,278.6,4.42,-3.93,0.82,281.82,4.02,-3.32,1.29,291.31,3.56,-4.14
2009070921,0.188,1.18,286.37,4.2,-4.2,0.56,277.62,4.24,-3.77,0.64,279.65,3.82,-2.93,1.16,291.58,3.15,-4.03
2009070922,0.188,0.92,284.4,3.71,-3.82,0.35,275.18,3.84,-3.72,0.63,279.7,3.77,-2.94,1.06,289.88,3.12,-3.59
2009070923,0.168,0.67,282.46,3.09,-3.41,0.13,272.11,3.42,-3.72,0.74,281.17,3.8,-3.18,1,287.43,3.33,-3.02
2009071000,0.158,0.52,281.36,2.65,-3.21,0.05,270.95,3.22,-3.7,0.83,282.66,3.79,-3.4,0.94,285.52,3.53,-2.6
2009071001,0.188,0.23,273.84,3.38,-3.57,0.84,283.22,3.67,-3.4,0.88,284.52,3.52,-2.71,1.11,292.34,2.93,-3.37
